axs_event_id,event_url,source_sheets
500155,https://www.axs.com/events/500155/zach-bryan-tickets,BOK Center
522849,https://www.axs.com/events/522849/grand-ole-opry-tickets,Opry House
536869,https://www.axs.com/events/536869/ramon-ayala-tickets,Mechanics Bank Theater
537088,https://www.axs.com/events/537088/arkadi-dumikyan-sat-mar-8-2025-tickets,Peacock Theater
537089,https://www.axs.com/events/537089/arkadi-dumikyan-sun-mar-9-2025-tickets,Peacock Theater
549487,https://www.axs.com/events/549487/katt-williams-heaven-on-earth-tour-fri-jan-17-2025-tickets,Peacock Theater
558996,https://www.axs.com/events/558996/monica-naranjo-tickets,Peacock Theater
605002,https://www.axs.com/events/605002/berlioz-live-tickets,The Novo
621063,https://www.axs.com/events/621063/for-king-country-tickets,Opry House
629235,https://www.axs.com/events/629235/2025-bnp-paribas-open-session-01-wednesday-day-session-tickets,Stadium 1 at Indian Wells Tenni
629456,https://www.axs.com/events/629456/2025-bnp-paribas-open-session-02-wednesday-eve-session-tickets,Stadium 1 at Indian Wells Tenni
629470,https://www.axs.com/events/629470/2025-bnp-paribas-open-session-04-thursday-eve-session-tickets,Stadium 1 at Indian Wells Tenni
629963,https://www.axs.com/events/629963/2025-bnp-paribas-open-session-12-monday-eve-session-tickets,Stadium 1 at Indian Wells Tenni
629965,https://www.axs.com/events/629965/2025-bnp-paribas-open-session-14-tuesday-eve-session-tickets,Stadium 1 at Indian Wells Tenni
629967,https://www.axs.com/events/629967/2025-bnp-paribas-open-session-16-wednesday-eve-session-tickets,Stadium 1 at Indian Wells Tenni
631760,https://www.axs.com/events/631760/2025-hlsr-03-04-reba-mcentire-rodeohouston-tickets,NRG Stadium
631762,https://www.axs.com/events/631762/2025-hlsr-03-05-riley-green-rodeohouston-tickets,NRG Stadium
631767,https://www.axs.com/events/631767/2025-hlsr-03-08-bailey-zimmerman-rodeohouston-tickets,NRG Stadium
635574,https://www.axs.com/events/635574/lupe-fiasco-tickets,The Novo
639433,https://www.axs.com/events/639433/2025-hlsr-03-12-lauren-daigle-rodeohouston-tickets/staticDetails,NRG Stadium
639434,https://www.axs.com/events/639434/2025-hlsr-03-13-jon-pardi-rodeohouston-tickets,NRG Stadium
639436,https://www.axs.com/events/639436/2025-hlsr-03-15-warren-zeiders-rodeohouston-tickets,NRG Stadium
639444,https://www.axs.com/events/639444/2025-hlsr-03-21-parker-mccollum-rodeohouston-tickets,NRG Stadium
648193,https://www.axs.com/events/648193/warren-zeiders-tickets,Dont spec per Julian- Virginia 
660294,https://www.axs.com/events/660294/teddy-swims-tickets,Dont spec per Julian- Virginia 
674771,https://www.axs.com/events/674771/megan-moroney-tickets,Dont spec per Julian- Virginia 
677517,https://www.axs.com/events/677517/jhene-aiko-tickets,VyStar Veterans Memorial Arena
678094,https://www.axs.com/events/678094/kiss-of-life-world-tour-2nd-show-added-tickets,The Novo
678207,https://www.axs.com/events/678207/leanne-morgan-just-getting-started-tickets,Mechanics Bank Theater
678713,https://www.axs.com/events/678713/arash-sasy-tickets,Peacock Theater
679511,https://www.axs.com/events/679511/mc-magic-baby-bash-lil-rob-original-mary-jane-girls-ft-max-cheri-tickets,The Novo
684638,https://www.axs.com/events/684638/amanda-miguel-tickets,Peacock Theater
688745,https://www.axs.com/events/688745/paw-patrol-live-yheroes-unitey-sat-apr-12-10am-tickets,Peacock Theater
